Naslov;Pisatelj;Jezik izvirnika;Leto izdaje;Prodaja (milijoni);Spol;Vrsta;Film;St. knjig na pisatelja
A Tale of Two Cities;Charles Dickens;anglescina;1859;200;M;roman;da;20
The Lord of the Rings;J. R. R. Tolkien;anglescina;1955;150;M;roman;da;10
The Little Prince;Antoine de Saint-Exup‚ry;francoscina;1943;140;M;novela;da;12
Harry Potter and the Philosopher's Stone;J. K. Rowling;anglescina;1997;107;Z;roman;da;15
And Then There Were None;Agatha Christie;anglescina;1939;100;Z;roman;da;8
Dream of the Red Chamber;Cao Xueqin;kitajçŸina;1791;100;M;roman;da;2
The Hobbit;J. R. R. Tolkien;anglescina;1937;100;M;roman;da;10
She: A History of Adventure;H. Rider Haggard;anglescina;1887;100;M;roman;da;4
The Lion, the Witch and the Wardrobe;C. S. Lewis;anglescina;1950;85;M;roman;da;7
The Da Vinci Code;Dan Brown;anglescina;2003;80;M;roman;da;5
Think and Grow Rich;Napoleon Hill;anglescina;1937;70;M;prirocnik;ne;11
Harry Potter and the Half-Blood Prince;J. K. Rowling;anglescina;2005;65;Z;roman;da;15
The Catcher in the Rye;J. D. Salinger;anglescina;1951;65;M;roman;da;22
The Alchemist;Paulo Coelho;portugalscina;1988;65;M;roman;da;31
Harry Potter and the Chamber of Secrets;J. K. Rowling;anglescina;1998;60;Z;roman;da;15
Harry Potter and the Prisoner of Azkaban;J. K. Rowling;anglescina;1998;55;Z;roman;da;15
Harry Potter and the Goblet of Fire;J. K. Rowling;anglescina;2000;55;Z;roman;da;15
Harry Potter and the Order of the Phoenix;J. K. Rowling;anglescina;2003;55;Z;roman;da;15
Harry Potter and the Deathly Hallows;J. K. Rowling;anglescina;2007;50;Z;roman;da;15
One Hundred Years of Solitude;Gabriel Garc¡a M rquez;spanscina;1967;50;M;roman;ne;22
Lolita;Vladimir Nabokov;anglescina;1955;50;M;roman;da;3
Heidi's Years of Learning and Travel;Johanna Spyri;nemscina;1880;50;Z;roman;da;2
The Common Sense Book of Baby and Child Care;Dr. Benjamin Spock;anglescina;1946;50;M;navodila;ne;1
Anne of Green Gables;Lucy Maud Montgomery;anglescina;1908;50;Z;roman;da;24
Black Beauty: His Grooms and Companions: The autobiography of a horse;Anna Sewell;anglescina;1877;50;Z;roman;da;3
The Name of the Rose;Umberto Eco;italijanscina;1980;50;M;roman;da;46
The Eagle Has Landed;Jack Higgins;anglescina;1975;50;M;roman;da;7
Watership Down;Richard Adams;anglescina;1972;50;M;roman;da;20
The Hite Report;Shere Hite;anglescina;1976;50;Z;prirocnik;ne;8
Charlotte's Web;E.B. White;anglescina;1952;50;M;roman;da;22
The Ginger Man;J. P. Donleavy;anglescina;1955;50;M;roman;da;26
The Bridges of Madison County;Robert James Waller;anglescina;1992;50;M;roman;da;13
The Tale of Peter Rabbit;Beatrix Potter;anglescina;1902;45;Z;pravljica;da;3
Jonathan Livingston Seagull;Richard Bach;anglescina;1970;40;M;roman;da;19
A Message to Garcia;Elbert Hubbard;anglescina;1899;40;M;esej;da;12
Sophie's World;Jostein Gaarder;norvescina;1991;40;M;roman;da;15
Flowers in the Attic;V. C. Andrews;anglescina;1979;40;Z;roman;da;22
Angels & Demons;Dan Brown;anglescina;2000;39;M;roman;da;5
How the Steel Was Tempered;Nikolai Ostrovsky;ruscina;1932;36;M;roman;da;3
"Voyna i mir; War and Peace";Leo Tolstoy;ruscina;1869;36;M;roman;da;6
The Adventures of Pinocchio;Carlo Collodi;italijanscina;1881;35;M;roman;da;8
You Can Heal Your Life;Louise Hay;anglescina;1984;35;Z;prirocnik;ne;12
Your Erroneous Zones;Wayne Dyer;anglescina;1976;35;M;prirocnik;ne;3
The Late, Great Planet Earth;Hal Lindsey, C. C. Carlson;anglescina;1970;35;M;roman;da;14
Kane and Abel;Jeffrey Archer;anglescina;1979;34;M;roman;da;23
In His Steps: What Would Jesus Do?;Charles M. Sheldon;anglescina;1896;30;M;roman;da;0
To Kill a Mockingbird;Harper Lee;anglescina;1960;30;Z;roman;da;6
Valley of the Dolls;Jacqueline Susann;anglescina;1966;30;Z;roman;da;3
Gone with the Wind;Margaret Mitchell;anglescina;1936;30;Z;roman;da;4
The Diary of a Young Girl, The Diary of Anne Frank;Anne Frank;nizozemscina;1947;30;Z;dnevnik;da;0
The Purpose Driven Life;Rick Warren;anglescina;2002;30;M;roman;da;8
The Thorn Birds;Colleen McCullough;anglescina;1977;30;Z;roman;da;15
The Revolt of Mamie Stover;William Bradford Huie;anglescina;1951;30;M;roman;da;20
The Girl with the Dragon Tattoo;Stieg Larsson;svedscina;2005;30;M;roman;da;5
The Very Hungry Caterpillar;Eric Carle;anglescina;1969;30;M;pravljica;ne;55
